dataset,exp_name,time_cost
titanic,abs_5_5_random_random,"0 m, 2.33 s"
titanic,abs_5_5_random_sort,"0 m, 2.09 s"
titanic,abs_5_5_random_prob,"0 m, 2.11 s"
titanic,abs_5_5_sort_random,"0 m, 2.12 s"
titanic,abs_5_5_sort_sort,"0 m, 2.15 s"
titanic,abs_5_5_sort_prob,"0 m, 2.02 s"
titanic,abs_5_5_full_random,"0 m, 2.16 s"
titanic,abs_5_5_full_sort,"0 m, 2.12 s"
titanic,abs_5_5_full_prob,"0 m, 2.08 s"
titanic,abs_5_10_random_random,"0 m, 3.91 s"
titanic,abs_5_10_random_sort,"0 m, 3.55 s"
titanic,abs_5_10_random_prob,"0 m, 3.79 s"
titanic,abs_5_10_sort_random,"0 m, 3.77 s"
titanic,abs_5_10_sort_sort,"0 m, 3.62 s"
titanic,abs_5_10_sort_prob,"0 m, 3.84 s"
titanic,abs_5_10_full_random,"0 m, 3.81 s"
titanic,abs_5_10_full_sort,"0 m, 3.67 s"
titanic,abs_5_10_full_prob,"0 m, 3.88 s"
titanic,abs_10_5_random_random,"0 m, 3.53 s"
titanic,abs_10_5_random_sort,"0 m, 3.38 s"
titanic,abs_10_5_random_prob,"0 m, 3.45 s"
titanic,abs_10_5_sort_random,"0 m, 3.44 s"
titanic,abs_10_5_sort_sort,"0 m, 3.40 s"
titanic,abs_10_5_sort_prob,"0 m, 3.47 s"
titanic,abs_10_5_full_random,"0 m, 3.39 s"
titanic,abs_10_5_full_sort,"0 m, 3.38 s"
titanic,abs_10_5_full_prob,"0 m, 3.37 s"
titanic,abs_10_10_random_random,"0 m, 6.84 s"
titanic,abs_10_10_random_sort,"0 m, 6.81 s"
titanic,abs_10_10_random_prob,"0 m, 6.62 s"
titanic,abs_10_10_sort_random,"0 m, 6.61 s"
titanic,abs_10_10_sort_sort,"0 m, 6.79 s"
titanic,abs_10_10_sort_prob,"0 m, 6.55 s"
titanic,abs_10_10_full_random,"0 m, 6.80 s"
titanic,abs_10_10_full_sort,"0 m, 6.79 s"
titanic,abs_10_10_full_prob,"0 m, 6.58 s"
titanic,abs_interaction_5_5_random_random,"0 m, 2.18 s"
titanic,abs_interaction_5_5_random_sort,"0 m, 2.05 s"
titanic,abs_interaction_5_5_random_prob,"0 m, 2.03 s"
titanic,abs_interaction_5_5_sort_random,"0 m, 2.07 s"
titanic,abs_interaction_5_5_sort_sort,"0 m, 2.07 s"
titanic,abs_interaction_5_5_sort_prob,"0 m, 2.07 s"
titanic,abs_interaction_5_5_full_random,"0 m, 2.11 s"
titanic,abs_interaction_5_5_full_sort,"0 m, 2.04 s"
titanic,abs_interaction_5_5_full_prob,"0 m, 1.96 s"
titanic,abs_interaction_5_10_random_random,"0 m, 3.85 s"
titanic,abs_interaction_5_10_random_sort,"0 m, 3.51 s"
titanic,abs_interaction_5_10_random_prob,"0 m, 3.66 s"
titanic,abs_interaction_5_10_sort_random,"0 m, 3.85 s"
titanic,abs_interaction_5_10_sort_sort,"0 m, 3.61 s"
titanic,abs_interaction_5_10_sort_prob,"0 m, 3.66 s"
titanic,abs_interaction_5_10_full_random,"0 m, 3.79 s"
titanic,abs_interaction_5_10_full_sort,"0 m, 3.59 s"
titanic,abs_interaction_5_10_full_prob,"0 m, 3.58 s"
titanic,abs_interaction_10_5_random_random,"0 m, 3.53 s"
titanic,abs_interaction_10_5_random_sort,"0 m, 3.23 s"
titanic,abs_interaction_10_5_random_prob,"0 m, 3.29 s"
titanic,abs_interaction_10_5_sort_random,"0 m, 3.43 s"
titanic,abs_interaction_10_5_sort_sort,"0 m, 3.23 s"
titanic,abs_interaction_10_5_sort_prob,"0 m, 3.34 s"
titanic,abs_interaction_10_5_full_random,"0 m, 3.50 s"
titanic,abs_interaction_10_5_full_sort,"0 m, 3.23 s"
titanic,abs_interaction_10_5_full_prob,"0 m, 3.23 s"
titanic,abs_interaction_10_10_random_random,"0 m, 6.64 s"
titanic,abs_interaction_10_10_random_sort,"0 m, 6.71 s"
titanic,abs_interaction_10_10_random_prob,"0 m, 6.82 s"
titanic,abs_interaction_10_10_sort_random,"0 m, 6.44 s"
titanic,abs_interaction_10_10_sort_sort,"0 m, 6.71 s"
titanic,abs_interaction_10_10_sort_prob,"0 m, 6.46 s"
titanic,abs_interaction_10_10_full_random,"0 m, 6.82 s"
titanic,abs_interaction_10_10_full_sort,"0 m, 6.77 s"
titanic,abs_interaction_10_10_full_prob,"0 m, 6.41 s"
titanic,ratio_5_5_random_random,"0 m, 2.08 s"
titanic,ratio_5_5_random_sort,"0 m, 2.03 s"
titanic,ratio_5_5_random_prob,"0 m, 2.12 s"
titanic,ratio_5_5_sort_random,"0 m, 2.14 s"
titanic,ratio_5_5_sort_sort,"0 m, 2.05 s"
titanic,ratio_5_5_sort_prob,"0 m, 2.04 s"
titanic,ratio_5_5_full_random,"0 m, 2.16 s"
titanic,ratio_5_5_full_sort,"0 m, 1.99 s"
titanic,ratio_5_5_full_prob,"0 m, 2.09 s"
titanic,ratio_5_10_random_random,"0 m, 3.68 s"
titanic,ratio_5_10_random_sort,"0 m, 3.57 s"
titanic,ratio_5_10_random_prob,"0 m, 3.79 s"
titanic,ratio_5_10_sort_random,"0 m, 3.93 s"
titanic,ratio_5_10_sort_sort,"0 m, 3.65 s"
titanic,ratio_5_10_sort_prob,"0 m, 3.68 s"
titanic,ratio_5_10_full_random,"0 m, 3.96 s"
titanic,ratio_5_10_full_sort,"0 m, 3.59 s"
titanic,ratio_5_10_full_prob,"0 m, 3.78 s"
titanic,ratio_10_5_random_random,"0 m, 3.53 s"
titanic,ratio_10_5_random_sort,"0 m, 3.29 s"
titanic,ratio_10_5_random_prob,"0 m, 3.24 s"
titanic,ratio_10_5_sort_random,"0 m, 3.42 s"
titanic,ratio_10_5_sort_sort,"0 m, 3.30 s"
titanic,ratio_10_5_sort_prob,"0 m, 3.34 s"
titanic,ratio_10_5_full_random,"0 m, 3.52 s"
titanic,ratio_10_5_full_sort,"0 m, 3.29 s"
titanic,ratio_10_5_full_prob,"0 m, 3.31 s"
titanic,ratio_10_10_random_random,"0 m, 6.85 s"
titanic,ratio_10_10_random_sort,"0 m, 6.55 s"
titanic,ratio_10_10_random_prob,"0 m, 6.56 s"
titanic,ratio_10_10_sort_random,"0 m, 6.55 s"
titanic,ratio_10_10_sort_sort,"0 m, 6.57 s"
titanic,ratio_10_10_sort_prob,"0 m, 6.52 s"
titanic,ratio_10_10_full_random,"0 m, 6.96 s"
titanic,ratio_10_10_full_sort,"0 m, 6.56 s"
titanic,ratio_10_10_full_prob,"0 m, 6.72 s"
adult,abs_5_5_random_random,"1 m, 41.71 s"
adult,abs_5_5_random_sort,"1 m, 49.00 s"
adult,abs_5_5_random_prob,"1 m, 53.16 s"
adult,abs_5_5_sort_random,"1 m, 52.31 s"
adult,abs_5_5_sort_sort,"1 m, 44.01 s"
adult,abs_5_5_sort_prob,"1 m, 43.43 s"
adult,abs_5_5_full_random,"1 m, 58.93 s"
adult,abs_5_5_full_sort,"1 m, 42.22 s"
adult,abs_5_5_full_prob,"1 m, 56.19 s"
adult,abs_5_10_random_random,"3 m, 37.13 s"
adult,abs_5_10_random_sort,"2 m, 56.51 s"
adult,abs_5_10_random_prob,"3 m, 49.00 s"
adult,abs_5_10_sort_random,"3 m, 34.21 s"
adult,abs_5_10_sort_sort,"3 m, 16.01 s"
adult,abs_5_10_sort_prob,"3 m, 20.65 s"
adult,abs_5_10_full_random,"4 m, 1.46 s"
adult,abs_5_10_full_sort,"3 m, 14.84 s"
adult,abs_5_10_full_prob,"3 m, 36.23 s"
adult,abs_10_5_random_random,"3 m, 36.58 s"
adult,abs_10_5_random_sort,"2 m, 50.93 s"
adult,abs_10_5_random_prob,"3 m, 0.85 s"
adult,abs_10_5_sort_random,"3 m, 20.27 s"
adult,abs_10_5_sort_sort,"2 m, 54.64 s"
adult,abs_10_5_sort_prob,"3 m, 42.65 s"
adult,abs_10_5_full_random,"3 m, 51.76 s"
adult,abs_10_5_full_sort,"2 m, 56.03 s"
adult,abs_10_5_full_prob,"3 m, 37.39 s"
adult,abs_10_10_random_random,"7 m, 25.26 s"
adult,abs_10_10_random_sort,"6 m, 25.37 s"
adult,abs_10_10_random_prob,"6 m, 37.02 s"
adult,abs_10_10_sort_random,"7 m, 9.13 s"
adult,abs_10_10_sort_sort,"6 m, 24.28 s"
adult,abs_10_10_sort_prob,"7 m, 36.41 s"
adult,abs_10_10_full_random,"7 m, 15.23 s"
adult,abs_10_10_full_sort,"6 m, 25.47 s"
adult,abs_10_10_full_prob,"7 m, 35.44 s"
